2017-11-04 19:58:06,200 | INFO  | .0.1:33840@61616 | LogAuditLoginModule              | 116 - org.apache.karaf.jaas.modules - 4.0.9 | Authentication succeeded - karaf
2017-11-04 19:58:06,255 | INFO  | .0.1:33842@61616 | LogAuditLoginModule              | 116 - org.apache.karaf.jaas.modules - 4.0.9 | Authentication attempt - karaf
2017-11-04 19:58:06,256 | INFO  | .0.1:33842@61616 | LogAuditLoginModule              | 116 - org.apache.karaf.jaas.modules - 4.0.9 | Authentication succeeded - karaf
2017-11-04 20:00:19,346 | INFO  | .0.1:34018@61616 | LogAuditLoginModule              | 116 - org.apache.karaf.jaas.modules - 4.0.9 | Authentication attempt - karaf
2017-11-04 20:00:19,350 | INFO  | .0.1:34018@61616 | LogAuditLoginModule              | 116 - org.apache.karaf.jaas.modules - 4.0.9 | Authentication succeeded - karaf
2017-11-04 20:00:19,410 | INFO  | .0.1:34020@61616 | LogAuditLoginModule              | 116 - org.apache.karaf.jaas.modules - 4.0.9 | Authentication attempt - karaf
2017-11-04 20:00:19,410 | INFO  | .0.1:34020@61616 | LogAuditLoginModule              | 116 - org.apache.karaf.jaas.modules - 4.0.9 | Authentication succeeded - karaf
2017-11-04 20:00:21,398 | INFO  | .0.1:34028@61616 | LogAuditLoginModule              | 116 - org.apache.karaf.jaas.modules - 4.0.9 | Authentication attempt - karaf
2017-11-04 20:00:21,398 | INFO  | .0.1:34028@61616 | LogAuditLoginModule              | 116 - org.apache.karaf.jaas.modules - 4.0.9 | Authentication succeeded - karaf
2017-11-04 20:00:21,443 | INFO  | .0.1:34030@61616 | LogAuditLoginModule              | 116 - org.apache.karaf.jaas.modules - 4.0.9 | Authentication attempt - karaf
2017-11-04 20:00:21,445 | INFO  | .0.1:34030@61616 | LogAuditLoginModule              | 116 - org.apache.karaf.jaas.modules - 4.0.9 | Authentication succeeded - karaf
2017-11-04 20:11:20,481 | INFO  | .0.1:34738@61616 | LogAuditLoginModule              | 116 - org.apache.karaf.jaas.modules - 4.0.9 | Authentication attempt - karaf
2017-11-04 20:11:20,487 | INFO  | .0.1:34738@61616 | LogAuditLoginModule              | 116 - org.apache.karaf.jaas.modules - 4.0.9 | Authentication succeeded - karaf
2017-11-04 20:11:20,570 | INFO  | .0.1:34740@61616 | LogAuditLoginModule              | 116 - org.apache.karaf.jaas.modules - 4.0.9 | Authentication attempt - karaf
2017-11-04 20:11:20,571 | INFO  | .0.1:34740@61616 | LogAuditLoginModule              | 116 - org.apache.karaf.jaas.modules - 4.0.9 | Authentication succeeded - karaf
2017-11-04 20:12:26,862 | INFO  | .0.1:34824@61616 | LogAuditLoginModule              | 116 - org.apache.karaf.jaas.modules - 4.0.9 | Authentication attempt - karaf
2017-11-04 20:12:26,866 | INFO  | .0.1:34824@61616 | LogAuditLoginModule              | 116 - org.apache.karaf.jaas.modules - 4.0.9 | Authentication succeeded - karaf
2017-11-04 20:12:26,956 | INFO  | .0.1:34826@61616 | LogAuditLoginModule              | 116 - org.apache.karaf.jaas.modules - 4.0.9 | Authentication attempt - karaf
2017-11-04 20:12:26,957 | INFO  | .0.1:34826@61616 | LogAuditLoginModule              | 116 - org.apache.karaf.jaas.modules - 4.0.9 | Authentication succeeded - karaf
2017-11-04 20:12:29,282 | INFO  | .0.1:34830@61616 | LogAuditLoginModule              | 116 - org.apache.karaf.jaas.modules - 4.0.9 | Authentication attempt - karaf
2017-11-04 20:12:29,284 | INFO  | .0.1:34830@61616 | LogAuditLoginModule              | 116 - org.apache.karaf.jaas.modules - 4.0.9 | Authentication succeeded - karaf
2017-11-04 20:12:29,319 | INFO  | .0.1:34832@61616 | LogAuditLoginModule              | 116 - org.apache.karaf.jaas.modules - 4.0.9 | Authentication attempt - karaf
2017-11-04 20:12:29,320 | INFO  | .0.1:34832@61616 | LogAuditLoginModule              | 116 - org.apache.karaf.jaas.modules - 4.0.9 | Authentication succeeded - karaf
2017-11-04 20:20:33,354 | INFO  | .0.1:35402@61616 | LogAuditLoginModule              | 116 - org.apache.karaf.jaas.modules - 4.0.9 | Authentication attempt - karaf
2017-11-04 20:20:33,358 | INFO  | .0.1:35402@61616 | LogAuditLoginModule              | 116 - org.apache.karaf.jaas.modules - 4.0.9 | Authentication succeeded - karaf
2017-11-04 20:20:33,429 | INFO  | .0.1:35404@61616 | LogAuditLoginModule              | 116 - org.apache.karaf.jaas.modules - 4.0.9 | Authentication attempt - karaf
2017-11-04 20:20:33,432 | INFO  | .0.1:35404@61616 | LogAuditLoginModule              | 116 - org.apache.karaf.jaas.modules - 4.0.9 | Authentication succeeded - karaf
2017-11-04 20:20:35,629 | INFO  | .0.1:35408@61616 | LogAuditLoginModule              | 116 - org.apache.karaf.jaas.modules - 4.0.9 | Authentication attempt - karaf
2017-11-04 20:20:35,635 | INFO  | .0.1:35408@61616 | LogAuditLoginModule              | 116 - org.apache.karaf.jaas.modules - 4.0.9 | Authentication succeeded - karaf
2017-11-04 20:20:35,686 | INFO  | .0.1:35410@61616 | LogAuditLoginModule              | 116 - org.apache.karaf.jaas.modules - 4.0.9 | Authentication attempt - karaf
2017-11-04 20:20:35,687 | INFO  | .0.1:35410@61616 | LogAuditLoginModule              | 116 - org.apache.karaf.jaas.modules - 4.0.9 | Authentication succeeded - karaf
2017-11-04 20:24:52,632 | INFO  | .0.1:35736@61616 | LogAuditLoginModule              | 116 - org.apache.karaf.jaas.modules - 4.0.9 | Authentication attempt - karaf
2017-11-04 20:24:52,638 | INFO  | .0.1:35736@61616 | LogAuditLoginModule              | 116 - org.apache.karaf.jaas.modules - 4.0.9 | Authentication succeeded - karaf
2017-11-04 20:24:52,738 | INFO  | .0.1:35738@61616 | LogAuditLoginModule              | 116 - org.apache.karaf.jaas.modules - 4.0.9 | Authentication attempt - karaf
2017-11-04 20:24:52,738 | INFO  | .0.1:35738@61616 | LogAuditLoginModule              | 116 - org.apache.karaf.jaas.modules - 4.0.9 | Authentication succeeded - karaf
2017-11-04 20:24:54,854 | INFO  | .0.1:35744@61616 | LogAuditLoginModule              | 116 - org.apache.karaf.jaas.modules - 4.0.9 | Authentication attempt - karaf
2017-11-04 20:24:54,855 | INFO  | .0.1:35744@61616 | LogAuditLoginModule              | 116 - org.apache.karaf.jaas.modules - 4.0.9 | Authentication succeeded - karaf
2017-11-04 20:24:54,903 | INFO  | .0.1:35746@61616 | LogAuditLoginModule              | 116 - org.apache.karaf.jaas.modules - 4.0.9 | Authentication attempt - karaf
2017-11-04 20:24:54,905 | INFO  | .0.1:35746@61616 | LogAuditLoginModule              | 116 - org.apache.karaf.jaas.modules - 4.0.9 | Authentication succeeded - karaf
2017-11-04 20:58:58,360 | INFO  | .0.1:38168@61616 | LogAuditLoginModule              | 116 - org.apache.karaf.jaas.modules - 4.0.9 | Authentication attempt - karaf
2017-11-04 20:58:58,364 | INFO  | .0.1:38168@61616 | LogAuditLoginModule              | 116 - org.apache.karaf.jaas.modules - 4.0.9 | Authentication succeeded - karaf
2017-11-04 20:58:58,428 | INFO  | .0.1:38170@61616 | LogAuditLoginModule              | 116 - org.apache.karaf.jaas.modules - 4.0.9 | Authentication attempt - karaf
2017-11-04 20:58:58,429 | INFO  | .0.1:38170@61616 | LogAuditLoginModule              | 116 - org.apache.karaf.jaas.modules - 4.0.9 | Authentication succeeded - karaf
2017-11-04 20:59:00,632 | INFO  | .0.1:38174@61616 | LogAuditLoginModule              | 116 - org.apache.karaf.jaas.modules - 4.0.9 | Authentication attempt - karaf
2017-11-04 20:59:00,633 | INFO  | .0.1:38174@61616 | LogAuditLoginModule              | 116 - org.apache.karaf.jaas.modules - 4.0.9 | Authentication succeeded - karaf
2017-11-04 20:59:00,669 | INFO  | .0.1:38176@61616 | LogAuditLoginModule              | 116 - org.apache.karaf.jaas.modules - 4.0.9 | Authentication attempt - karaf
2017-11-04 20:59:00,669 | INFO  | .0.1:38176@61616 | LogAuditLoginModule              | 116 - org.apache.karaf.jaas.modules - 4.0.9 | Authentication succeeded - karaf
2017-11-04 21:29:17,428 | INFO  | .0.1:40338@61616 | LogAuditLoginModule              | 116 - org.apache.karaf.jaas.modules - 4.0.9 | Authentication attempt - karaf
2017-11-04 21:29:17,437 | INFO  | .0.1:40338@61616 | LogAuditLoginModule              | 116 - org.apache.karaf.jaas.modules - 4.0.9 | Authentication succeeded - karaf
2017-11-04 21:29:17,591 | INFO  | .0.1:40340@61616 | LogAuditLoginModule              | 116 - org.apache.karaf.jaas.modules - 4.0.9 | Authentication attempt - karaf
2017-11-04 21:29:17,592 | INFO  | .0.1:40340@61616 | LogAuditLoginModule              | 116 - org.apache.karaf.jaas.modules - 4.0.9 | Authentication succeeded - karaf
2017-11-04 21:29:20,030 | INFO  | .0.1:40344@61616 | LogAuditLoginModule              | 116 - org.apache.karaf.jaas.modules - 4.0.9 | Authentication attempt - karaf
2017-11-04 21:29:20,031 | INFO  | .0.1:40344@61616 | LogAuditLoginModule              | 116 - org.apache.karaf.jaas.modules - 4.0.9 | Authentication succeeded - karaf
2017-11-04 21:29:20,088 | INFO  | .0.1:40346@61616 | LogAuditLoginModule              | 116 - org.apache.karaf.jaas.modules - 4.0.9 | Authentication attempt - karaf
2017-11-04 21:29:20,090 | INFO  | .0.1:40346@61616 | LogAuditLoginModule              | 116 - org.apache.karaf.jaas.modules - 4.0.9 | Authentication succeeded - karaf
