2017-11-04 20:24:14,381 | INFO  | FelixStartLevel  | CommandExtension                 | 124 - org.apache.karaf.shell.core - 4.0.9 | Unregistering commands for bundle org.apache.karaf.diagnostic.core/4.0.9
2017-11-04 20:24:14,381 | INFO  | FelixStartLevel  | CommandExtension                 | 124 - org.apache.karaf.shell.core - 4.0.9 | Unregistering commands for bundle org.apache.karaf.log.core/4.0.9
2017-11-04 20:24:14,381 | INFO  | FelixStartLevel  | CommandExtension                 | 124 - org.apache.karaf.shell.core - 4.0.9 | Unregistering commands for bundle org.apache.karaf.package.core/4.0.9
2017-11-04 20:24:14,382 | INFO  | FelixStartLevel  | CommandExtension                 | 124 - org.apache.karaf.shell.core - 4.0.9 | Unregistering commands for bundle org.apache.karaf.service.core/4.0.9
2017-11-04 20:24:14,388 | INFO  | FelixStartLevel  | core                             | 33 - org.apache.aries.jmx.core - 1.1.7 | Unregistering org.osgi.jmx.framework.BundleStateMBean to MBeanServer com.sun.jmx.mbeanserver.JmxMBeanServer@5e481248 with name osgi.core:type=bundleState,version=1.7,framework=org.apache.felix.framework,uuid=359d5a6d-96b5-4b93-b7a6-4f78424a0eba
2017-11-04 20:24:14,388 | INFO  | FelixStartLevel  | core                             | 33 - org.apache.aries.jmx.core - 1.1.7 | Unregistering org.osgi.jmx.service.cm.ConfigurationAdminMBean to MBeanServer com.sun.jmx.mbeanserver.JmxMBeanServer@5e481248 with name osgi.compendium:service=cm,version=1.3,framework=org.apache.felix.framework,uuid=359d5a6d-96b5-4b93-b7a6-4f78424a0eba
2017-11-04 20:24:14,389 | INFO  | FelixStartLevel  | core                             | 33 - org.apache.aries.jmx.core - 1.1.7 | Unregistering org.osgi.jmx.framework.PackageStateMBean to MBeanServer com.sun.jmx.mbeanserver.JmxMBeanServer@5e481248 with name osgi.core:type=packageState,version=1.5,framework=org.apache.felix.framework,uuid=359d5a6d-96b5-4b93-b7a6-4f78424a0eba
2017-11-04 20:24:14,389 | INFO  | FelixStartLevel  | core                             | 33 - org.apache.aries.jmx.core - 1.1.7 | Unregistering org.osgi.jmx.framework.FrameworkMBean to MBeanServer com.sun.jmx.mbeanserver.JmxMBeanServer@5e481248 with name osgi.core:type=framework,version=1.7,framework=org.apache.felix.framework,uuid=359d5a6d-96b5-4b93-b7a6-4f78424a0eba
2017-11-04 20:24:14,389 | INFO  | FelixStartLevel  | core                             | 33 - org.apache.aries.jmx.core - 1.1.7 | Unregistering org.osgi.jmx.framework.wiring.BundleWiringStateMBean to MBeanServer com.sun.jmx.mbeanserver.JmxMBeanServer@5e481248 with name osgi.core:type=wiringState,version=1.1,framework=org.apache.felix.framework,uuid=359d5a6d-96b5-4b93-b7a6-4f78424a0eba
2017-11-04 20:24:14,390 | INFO  | FelixStartLevel  | core                             | 33 - org.apache.aries.jmx.core - 1.1.7 | Unregistering org.osgi.jmx.framework.ServiceStateMBean to MBeanServer com.sun.jmx.mbeanserver.JmxMBeanServer@5e481248 with name osgi.core:type=serviceState,version=1.7,framework=org.apache.felix.framework,uuid=359d5a6d-96b5-4b93-b7a6-4f78424a0eba
2017-11-04 20:24:14,391 | WARN  | FelixStartLevel  | core                             | 33 - org.apache.aries.jmx.core - 1.1.7 | Task rejected for JMX Notification dispatch of event [org.osgi.framework.ServiceEvent[source=[javax.management.MBeanServer]]] - Dispatcher may have been shutdown
2017-11-04 20:24:14,432 | INFO  | FelixStartLevel  | core                             | 33 - org.apache.aries.jmx.core - 1.1.7 | Stopping JMX OSGi agent
2017-11-04 20:24:14,433 | INFO  | FelixStartLevel  | core                             | 33 - org.apache.aries.jmx.core - 1.1.7 | Unregistering MBean with ObjectName [osgi.compendium:service=cm,version=1.3,framework=org.apache.felix.framework,uuid=359d5a6d-96b5-4b93-b7a6-4f78424a0eba] for service with service.id [15]
nov. 04, 2017 8:24:38 PM org.apache.karaf.main.lock.SimpleFileLock lock
INFOS: Trying to lock /home/user/Bureau/Projet 2 ESB/microservices-uns/apache-servicemix-7.0.1/lock
nov. 04, 2017 8:24:38 PM org.apache.karaf.main.lock.SimpleFileLock lock
INFOS: Lock acquired
nov. 04, 2017 8:24:38 PM org.apache.karaf.main.Main$KarafLockCallback lockAquired
INFOS: Lock acquired. Setting startlevel to 100
2017-11-04 20:24:41,522 | INFO  | FelixStartLevel  | core                             | 33 - org.apache.aries.jmx.core - 1.1.7 | Starting JMX OSGi agent
2017-11-04 20:24:41,577 | INFO  | FelixStartLevel  | core                             | 33 - org.apache.aries.jmx.core - 1.1.7 | Registering MBean with ObjectName [osgi.compendium:service=cm,version=1.3,framework=org.apache.felix.framework,uuid=503d2190-4a9f-43ef-9482-db83494cea8a] for service with service.id [15]
2017-11-04 20:24:42,446 | INFO  | pool-17-thread-1 | core                             | 33 - org.apache.aries.jmx.core - 1.1.7 | Registering org.osgi.jmx.service.cm.ConfigurationAdminMBean to MBeanServer com.sun.jmx.mbeanserver.JmxMBeanServer@5e481248 with name osgi.compendium:service=cm,version=1.3,framework=org.apache.felix.framework,uuid=503d2190-4a9f-43ef-9482-db83494cea8a
2017-11-04 20:24:42,447 | INFO  | pool-17-thread-1 | core                             | 33 - org.apache.aries.jmx.core - 1.1.7 | Registering org.osgi.jmx.framework.PackageStateMBean to MBeanServer com.sun.jmx.mbeanserver.JmxMBeanServer@5e481248 with name osgi.core:type=packageState,version=1.5,framework=org.apache.felix.framework,uuid=503d2190-4a9f-43ef-9482-db83494cea8a
2017-11-04 20:24:42,448 | INFO  | pool-17-thread-1 | core                             | 33 - org.apache.aries.jmx.core - 1.1.7 | Registering org.osgi.jmx.framework.BundleStateMBean to MBeanServer com.sun.jmx.mbeanserver.JmxMBeanServer@5e481248 with name osgi.core:type=bundleState,version=1.7,framework=org.apache.felix.framework,uuid=503d2190-4a9f-43ef-9482-db83494cea8a
2017-11-04 20:24:42,452 | INFO  | pool-17-thread-1 | core                             | 33 - org.apache.aries.jmx.core - 1.1.7 | Registering org.osgi.jmx.framework.wiring.BundleWiringStateMBean to MBeanServer com.sun.jmx.mbeanserver.JmxMBeanServer@5e481248 with name osgi.core:type=wiringState,version=1.1,framework=org.apache.felix.framework,uuid=503d2190-4a9f-43ef-9482-db83494cea8a
2017-11-04 20:24:42,452 | INFO  | pool-17-thread-1 | core                             | 33 - org.apache.aries.jmx.core - 1.1.7 | Registering org.osgi.jmx.framework.FrameworkMBean to MBeanServer com.sun.jmx.mbeanserver.JmxMBeanServer@5e481248 with name osgi.core:type=framework,version=1.7,framework=org.apache.felix.framework,uuid=503d2190-4a9f-43ef-9482-db83494cea8a
2017-11-04 20:24:42,453 | INFO  | pool-17-thread-1 | core                             | 33 - org.apache.aries.jmx.core - 1.1.7 | Registering org.osgi.jmx.framework.ServiceStateMBean to MBeanServer com.sun.jmx.mbeanserver.JmxMBeanServer@5e481248 with name osgi.core:type=serviceState,version=1.7,framework=org.apache.felix.framework,uuid=503d2190-4a9f-43ef-9482-db83494cea8a
2017-11-04 20:24:42,891 | INFO  | FelixStartLevel  | CommandExtension                 | 124 - org.apache.karaf.shell.core - 4.0.9 | Registering commands for bundle org.apache.karaf.bundle.core/4.0.9
2017-11-04 20:24:42,910 | INFO  | FelixStartLevel  | CommandExtension                 | 124 - org.apache.karaf.shell.core - 4.0.9 | Registering commands for bundle org.apache.karaf.config.core/4.0.9
